#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2021 06 01 15 00 295  0.7 99.0 99.00 99.00 99.00 999 9999.0  12.0   4.2   9.5 99.0 99.00
2021 06 01 15 10 297  0.6 99.0 99.00 99.00 99.00 999 9999.0  12.2   4.2   9.8 99.0 99.00
2021 06 01 15 20 323  0.3 99.0 99.00 99.00 99.00 999 9999.0  12.8   4.2  10.4 99.0 99.00
2021 06 01 15 30  45  0.2 99.0 99.00 99.00 99.00 999 9999.0  14.4   4.2  10.2 99.0 99.00
2021 06 01 15 40  76  0.2 99.0 99.00 99.00 99.00 999 9999.0  15.0   4.2  10.4 99.0 99.00
2021 06 01 15 50  31  0.3 99.0 99.00 99.00 99.00 999 9999.0  15.1   4.2  10.5 99.0 99.00
2021 06 01 16 00  38  0.5 99.0 99.00 99.00 99.00 999 9999.0  14.2   4.2  10.7 99.0 99.00
2021 06 01 16 10  32  0.5 99.0 99.00 99.00 99.00 999 9999.0  14.4   4.2  10.7 99.0 99.00
2021 06 01 16 20  66  0.6 99.0 99.00 99.00 99.00 999 9999.0  14.3   4.2  10.9 99.0 99.00
2021 06 01 16 30  35  0.9 99.0 99.00 99.00 99.00 999 9999.0  14.0   4.2  11.0 99.0 99.00
2021 06 01 16 40  40  1.0 99.0 99.00 99.00 99.00 999 9999.0  14.1   4.2  11.3 99.0 99.00
2021 06 01 16 50  50  1.2 99.0 99.00 99.00 99.00 999 9999.0  14.2   4.2  11.4 99.0 99.00
2021 06 01 17 00  77  1.2 99.0 99.00 99.00 99.00 999 9999.0  14.3   4.2  11.6 99.0 99.00
2021 06 01 17 10  90  1.5 99.0 99.00 99.00 99.00 999 9999.0  14.3   4.2  11.6 99.0 99.00
2021 06 01 17 20  98  2.3 99.0 99.00 99.00 99.00 999 9999.0  13.6   4.2  11.1 99.0 99.00
2021 06 01 17 30  73  2.2 99.0 99.00 99.00 99.00 999 9999.0  12.9   4.2  10.5 99.0 99.00
2021 06 01 17 40  69  2.1 99.0 99.00 99.00 99.00 999 9999.0  12.3   4.2  10.3 99.0 99.00
2021 06 01 17 50  64  1.9 99.0 99.00 99.00 99.00 999 9999.0  12.1   4.2  10.4 99.0 99.00
2021 06 01 18 00  58  1.8 99.0 99.00 99.00 99.00 999 9999.0  12.1   4.2  10.5 99.0 99.00
2021 06 01 18 10  63  2.3 99.0 99.00 99.00 99.00 999 9999.0  12.2   4.2  10.5 99.0 99.00
2021 06 01 18 20  60  2.7 99.0 99.00 99.00 99.00 999 9999.0  12.0   4.2  10.3 99.0 99.00
