#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2014 06 20 01 10  56  8.3 10.0 99.00 99.00 99.00 999 9999.0   6.6   3.1   5.0 99.0 99.00
2014 06 20 01 20  67  8.5 10.6 99.00 99.00 99.00 999 9999.0   6.8   3.1   5.0 99.0 99.00
2014 06 20 01 30  67  8.4 10.0 99.00 99.00 99.00 999 9999.0   6.7   3.1   4.9 99.0 99.00
2014 06 20 01 40  61  8.5 10.9 99.00 99.00 99.00 999 9999.0   6.6   3.1   4.8 99.0 99.00
2014 06 20 01 50  65  8.1  9.3 99.00 99.00 99.00 999 9999.0   6.5   3.1   4.7 99.0 99.00
2014 06 20 02 00  67  8.5  9.9 99.00 99.00 99.00 999 9999.0   6.4   3.1   4.7 99.0 99.00
2014 06 20 02 10  60  7.8  9.5 99.00 99.00 99.00 999 9999.0   6.3   3.1   4.7 99.0 99.00
2014 06 20 02 20  55  7.9  9.2 99.00 99.00 99.00 999 9999.0   6.4   3.1   4.7 99.0 99.00
2014 06 20 02 30  64  8.8 10.4 99.00 99.00 99.00 999 9999.0   6.7   3.1   4.8 99.0 99.00
2014 06 20 02 40  67  8.6 10.8 99.00 99.00 99.00 999 9999.0   6.6   3.1   4.7 99.0 99.00
2014 06 20 02 50  67  7.8  9.3 99.00 99.00 99.00 999 9999.0   6.4   3.1   4.6 99.0 99.00
2014 06 20 03 00  61  6.3  7.7 99.00 99.00 99.00 999 9999.0   6.1   3.1   4.5 99.0 99.00
2014 06 20 03 10  63  5.9  8.6 99.00 99.00 99.00 999 9999.0   6.1   3.1   4.6 99.0 99.00
2014 06 20 03 20  69  6.8  8.3 99.00 99.00 99.00 999 9999.0   6.6   3.1   4.7 99.0 99.00
