#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2019 07 01 00 00  68  1.4  1.5 99.00 99.00 99.00 999 1014.5  13.2  14.8  11.7 99.0 99.00
2019 07 01 00 10 106  1.8  1.9 99.00 99.00 99.00 999 1014.5  13.2  14.9  11.7 99.0 99.00
2019 07 01 00 20  73  1.9  2.5 99.00 99.00 99.00 999 1014.3  13.4  14.8  11.8 99.0 99.00
2019 07 01 00 30  57  1.5  1.8 99.00 99.00 99.00 999 1014.3  13.6  14.8  12.0 99.0 99.00
2019 07 01 00 40 122  1.3  2.3 99.00 99.00 99.00 999 1014.0  13.6  14.8  11.9 99.0 99.00
2019 07 01 00 50 159  1.4  1.8 99.00 99.00 99.00 999 1014.1  13.4  14.8  11.5 99.0 99.00
2019 07 01 01 00 198  1.6  2.0 99.00 99.00 99.00 999 1014.2  13.4  14.8  11.7 99.0 99.00
2019 07 01 01 10 208  2.6  2.9 99.00 99.00 99.00 999 1014.1  13.3  14.8  11.8 99.0 99.00
2019 07 01 01 20 230  2.8  2.9 99.00 99.00 99.00 999 1014.0  13.3  14.8  11.8 99.0 99.00
2019 07 01 01 30 257  2.5  2.9 99.00 99.00 99.00 999 1014.0  13.5  14.7  12.2 99.0 99.00
2019 07 01 01 40 213  1.9  2.2 99.00 99.00 99.00 999 1014.0  13.5  14.7  12.3 99.0 99.00
2019 07 01 01 50 213  1.4  1.7 99.00 99.00 99.00 999 1014.0  13.6  14.7  12.2 99.0 99.00
2019 07 01 02 00 198  1.0  1.4 99.00 99.00 99.00 999 1013.9  13.6  14.6  12.3 99.0 99.00
2019 07 01 02 10 251  0.8  1.0 99.00 99.00 99.00 999 1014.0  13.7  14.6  12.3 99.0 99.00
2019 07 01 02 20 217  0.8  0.9 99.00 99.00 99.00 999 1014.0  13.8  14.6  12.4 99.0 99.00
2019 07 01 02 30 257  0.6  0.8 99.00 99.00 99.00 999 1013.9  13.9  14.6  12.5 99.0 99.00
2019 07 01 02 40 231  1.1  1.6 99.00 99.00 99.00 999 1013.8  14.0  14.5  12.6 99.0 99.00
2019 07 01 02 50 245  1.3  1.6 99.00 99.00 99.00 999 1013.9  14.0  14.5  12.8 99.0 99.00
2019 07 01 03 00 208  0.8  1.1 99.00 99.00 99.00 999 1013.9  14.0  14.5  13.0 99.0 99.00
2019 07 01 03 10 215  0.5  0.7 99.00 99.00 99.00 999 1013.7  14.0  14.4  13.0 99.0 99.00
2019 07 01 03 20 204  0.8  0.9 99.00 99.00 99.00 999 1013.9  14.1  14.4  13.1 99.0 99.00
2019 07 01 03 30 213  0.6  0.8 99.00 99.00 99.00 999 1014.0  14.1  14.4  13.2 99.0 99.00
2019 07 01 03 40 206  0.5  0.7 99.00 99.00 99.00 999 1013.8  14.2  14.3  13.3 99.0 99.00
2019 07 01 03 50 195  1.4  1.9 99.00 99.00 99.00 999 1014.1  14.2  14.3  13.3 99.0 99.00
2019 07 01 04 00 205  1.1  1.9 99.00 99.00 99.00 999 1014.1  14.1  14.3  13.2 99.0 99.00
2019 07 01 04 10 237  1.1  1.4 99.00 99.00 99.00 999 1014.4  14.1  14.3  13.2 99.0 99.00
2019 07 01 04 20 248  1.6  2.2 99.00 99.00 99.00 999 1014.3  14.2  14.3  13.3 99.0 99.00
2019 07 01 04 30 292  1.3  1.9 99.00 99.00 99.00 999 1014.2  14.3  14.3  13.5 99.0 99.00
2019 07 01 04 40 308  0.7  1.5 99.00 99.00 99.00 999 1014.3  14.5  14.2  13.7 99.0 99.00
2019 07 01 04 50 216  0.5  0.7 99.00 99.00 99.00 999 1014.2  14.6  14.3  13.8 99.0 99.00
2019 07 01 05 00 152  0.8  1.1 99.00 99.00 99.00 999 1014.0  14.7  14.3  13.7 99.0 99.00
2019 07 01 05 10 159  0.7  1.1 99.00 99.00 99.00 999 1014.0  14.6  14.2  13.7 99.0 99.00
2019 07 01 05 20 266  0.5  0.7 99.00 99.00 99.00 999 1014.0  14.5  14.2  13.6 99.0 99.00
2019 07 01 05 30 220  1.0  1.6 99.00 99.00 99.00 999 1014.1  14.9  14.2  13.6 99.0 99.00
2019 07 01 05 40 219  2.1  2.3 99.00 99.00 99.00 999 1014.2  14.8  14.2  13.6 99.0 99.00
2019 07 01 05 50 237  1.3  1.7 99.00 99.00 99.00 999 1014.0  14.8  14.2  13.4 99.0 99.00
2019 07 01 06 00 207  1.4  1.9 99.00 99.00 99.00 999 1014.0  15.2  14.2  13.3 99.0 99.00
2019 07 01 06 10 212  1.4  1.9 99.00 99.00 99.00 999 1014.3  15.1  14.1  13.5 99.0 99.00
2019 07 01 06 20 245  2.1  2.9 99.00 99.00 99.00 999 1014.6  15.3  14.1  14.1 99.0 99.00
2019 07 01 06 30 247  2.7  3.2 99.00 99.00 99.00 999 1014.6  15.5  14.1  14.3 99.0 99.00
2019 07 01 06 40 250  2.5  2.9 99.00 99.00 99.00 999 1014.6  15.8  14.1  14.8 99.0 99.00
2019 07 01 06 50 223  2.7  3.1 99.00 99.00 99.00 999 1014.3  16.4  14.1  15.3 99.0 99.00
2019 07 01 07 00 230  2.0  2.5 99.00 99.00 99.00 999 1014.2  16.8  14.1  16.0 99.0 99.00
2019 07 01 07 10 257  1.4  2.0 99.00 99.00 99.00 999 1014.1  16.9  14.1  16.0 99.0 99.00
2019 07 01 07 20 280  0.7  1.1 99.00 99.00 99.00 999 1013.9  16.6  14.1  15.7 99.0 99.00
2019 07 01 07 30 316  0.8  1.6 99.00 99.00 99.00 999 1013.9  16.3  14.1  15.2 99.0 99.00
2019 07 01 07 40 216  1.2  1.6 99.00 99.00 99.00 999 1014.0  16.5  14.1  15.6 99.0 99.00
2019 07 01 07 50 255  2.4  2.7 99.00 99.00 99.00 999 1014.3  16.4  14.2  16.0 99.0 99.00
2019 07 01 08 00 232  3.3  3.6 99.00 99.00 99.00 999 1014.3  17.0  14.2  16.9 99.0 99.00
2019 07 01 08 10 218  3.5  4.0 99.00 99.00 99.00 999 1014.3  16.7  14.2  16.6 99.0 99.00
2019 07 01 08 20 228  3.2  3.7 99.00 99.00 99.00 999 1014.1  17.4  14.2  17.3 99.0 99.00
2019 07 01 08 30 227  2.9  3.6 99.00 99.00 99.00 999 1014.0  17.3  14.2  17.2 99.0 99.00
2019 07 01 08 40 214  3.0  3.4 99.00 99.00 99.00 999 1013.7  17.3  14.2  17.2 99.0 99.00
2019 07 01 08 50 227  3.1  3.5 99.00 99.00 99.00 999 1013.7  17.1  14.3  17.0 99.0 99.00
2019 07 01 09 00 246  3.2  3.6 99.00 99.00 99.00 999 1013.8  17.5  14.4  17.4 99.0 99.00
2019 07 01 09 10 220  3.5  4.4 99.00 99.00 99.00 999 1014.0  16.5  14.5  16.4 99.0 99.00
2019 07 01 09 20 214  5.5  6.4 99.00 99.00 99.00 999 1014.0  16.9  14.5  16.8 99.0 99.00
2019 07 01 09 30 248  3.6  4.9 99.00 99.00 99.00 999 1013.8  17.3  14.4  17.2 99.0 99.00
2019 07 01 09 40 262  3.0  3.4 99.00 99.00 99.00 999 1013.7  17.3  14.4  17.2 99.0 99.00
2019 07 01 09 50 232  1.8  2.1 99.00 99.00 99.00 999 1013.4  17.4  14.5  17.2 99.0 99.00
2019 07 01 10 00 269  1.0  1.7 99.00 99.00 99.00 999 1013.4  17.7  14.5  17.4 99.0 99.00
2019 07 01 10 10 229  0.9  1.2 99.00 99.00 99.00 999 1013.2  17.1  14.5  16.7 99.0 99.00
2019 07 01 10 20 260  1.5  1.7 99.00 99.00 99.00 999 1013.3  17.0  14.5  16.9 99.0 99.00
2019 07 01 10 30 194  2.9  5.3 99.00 99.00 99.00 999 1013.3  16.7  14.5  16.4 99.0 99.00
2019 07 01 10 40 193  4.2  4.6 99.00 99.00 99.00 999 1013.5  16.5  14.5  16.4 99.0 99.00
