#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2022 06 01 00 00 293  8.1  8.9  0.50  3.00 99.00 271 9999.0 999.0   2.5 999.0 99.0 99.00
2022 06 01 00 10 256  9.1 10.8  0.40  3.60 99.00 280 9999.0 999.0   2.5 999.0 99.0 99.00
2022 06 01 00 20 257  7.1  8.5  0.50  3.20 99.00 282 9999.0 999.0   2.5 999.0 99.0 99.00
2022 06 01 00 30 272  8.3  9.5  0.40  3.50 99.00 282 9999.0 999.0   2.5 999.0 99.0 99.00
2022 06 01 00 40 252 10.8 15.0  0.50  3.50 99.00 286 9999.0 999.0   2.5 999.0 99.0 99.00
2022 06 01 00 50 252  9.1 13.8  0.50  3.20 99.00 268 9999.0 999.0   2.5 999.0 99.0 99.00
2022 06 01 01 00 244 10.4 12.6  0.60  3.30 99.00 271 9999.0 999.0   2.5 999.0 99.0 99.00
2022 06 01 01 10 257  8.4  9.9  0.50  3.00 99.00 268 9999.0 999.0   2.5 999.0 99.0 99.00
2022 06 01 01 20 245  7.7  9.3  0.50  3.30 99.00 251 9999.0 999.0   2.5 999.0 99.0 99.00
2022 06 01 01 30 265  7.0  8.1  0.60  3.00 99.00 247 9999.0 999.0   2.5 999.0 99.0 99.00
2022 06 01 01 40 249  6.2  7.0  0.40  3.40 99.00 262 9999.0 999.0   2.5 999.0 99.0 99.00
2022 06 01 01 50 249  6.0  7.5  0.50  2.90 99.00 263 9999.0 999.0   2.5 999.0 99.0 99.00
2022 06 01 02 00 259  8.1 10.0  0.40  3.20 99.00 268 9999.0 999.0   2.5 999.0 99.0 99.00
2022 06 01 02 10 262  7.5  8.9  0.40  2.80 99.00 279 9999.0 999.0   2.5 999.0 99.0 99.00
2022 06 01 02 20 271  6.5 11.1  0.40  2.90 99.00 265 9999.0 999.0   2.5 999.0 99.0 99.00
2022 06 01 02 30 248  4.6  5.4  0.30  3.20 99.00 267 9999.0 999.0   2.5 999.0 99.0 99.00
2022 06 01 02 40 225  5.8  6.5  0.30  2.80 99.00 272 9999.0 999.0   2.5 999.0 99.0 99.00
2022 06 01 02 50 231  4.6  6.0  0.30  2.60 99.00 277 9999.0 999.0   2.5 999.0 99.0 99.00
2022 06 01 03 00 250  4.1  4.8  0.30  2.60 99.00 282 9999.0 999.0   2.5 999.0 99.0 99.00
2022 06 01 03 10 255  5.9  6.7  0.20  2.80 99.00 280 9999.0 999.0   2.5 999.0 99.0 99.00
2022 06 01 03 20 288  7.6  9.2  0.30  2.80 99.00 272 9999.0 999.0   2.5 999.0 99.0 99.00
2022 06 01 03 30 266  8.3  8.4  0.30  2.60 99.00 267 9999.0 999.0   2.5 999.0 99.0 99.00
2022 06 01 03 40 273  7.0  7.6  0.30  2.50 99.00 277 9999.0 999.0   2.5 999.0 99.0 99.00
2022 06 01 03 50 283  5.7  7.0  0.30  2.20 99.00 273 9999.0 999.0   2.5 999.0 99.0 99.00
2022 06 01 04 00 265  4.5  5.8  0.20  2.40 99.00 279 9999.0 999.0   2.5 999.0 99.0 99.00
2022 06 01 04 10 252  5.0  5.4  0.20  2.40 99.00 283 9999.0 999.0   2.5 999.0 99.0 99.00
2022 06 01 04 20 248  5.8  6.5  0.20  2.20 99.00 292 9999.0 999.0   2.5 999.0 99.0 99.00
2022 06 01 04 30 278  5.6  6.2  0.20  2.30 99.00 305 9999.0 999.0   2.5 999.0 99.0 99.00
2022 06 01 04 40 254  5.4  6.9  0.20  2.10 99.00 297 9999.0 999.0   2.5 999.0 99.0 99.00
2022 06 01 04 50 270  4.1  5.4  0.20  2.10 99.00 299 9999.0 999.0   2.5 999.0 99.0 99.00
2022 06 01 05 00 250  3.1  3.6  0.20  2.30 99.00 304 9999.0 999.0   2.5 999.0 99.0 99.00
2022 06 01 05 10 253  3.8  4.8  0.20  2.40 99.00 300 9999.0 999.0   2.5 999.0 99.0 99.00
2022 06 01 05 20 228  3.0  3.4  0.10  2.20 99.00 305 9999.0 999.0   2.5 999.0 99.0 99.00
2022 06 01 05 30 250  3.2  3.7  0.10  2.10 99.00 304 9999.0 999.0   2.5 999.0 99.0 99.00
2022 06 01 05 40 243  3.0  3.3  0.20  1.80 99.00 310 9999.0 999.0   2.5 999.0 99.0 99.00
2022 06 01 05 50 239  3.4  4.0  0.10  2.00 99.00 304 9999.0 999.0   2.5 999.0 99.0 99.00
2022 06 01 06 00 252  3.7  4.9  0.10  2.10 99.00 301 9999.0 999.0   2.4 999.0 99.0 99.00
2022 06 01 06 10 265  4.5  6.1  0.10  1.90 99.00 284 9999.0 999.0   2.4 999.0 99.0 99.00
2022 06 01 06 20 276  5.0  5.6  0.10  2.00 99.00 281 9999.0 999.0   2.4 999.0 99.0 99.00
2022 06 01 06 30 277  4.4  5.8  0.10  1.80 99.00 273 9999.0 999.0   2.4 999.0 99.0 99.00
2022 06 01 06 40 272  4.7  6.3  0.10  1.90 99.00 267 9999.0 999.0   2.4 999.0 99.0 99.00
2022 06 01 06 50 292  5.0  5.9  0.10  1.80 99.00 269 9999.0 999.0   2.4 999.0 99.0 99.00
2022 06 01 07 00 291  4.5  6.0  0.10  1.70 99.00 253 9999.0 999.0   2.4 999.0 99.0 99.00
2022 06 01 07 10 305  4.3  5.0  0.10  1.70 99.00 250 9999.0 999.0   2.4 999.0 99.0 99.00
2022 06 01 07 20 290  3.7  4.5  0.10  2.00 99.00 250 9999.0 999.0   2.4 999.0 99.0 99.00
2022 06 01 07 30 262  3.1  3.5  0.10  1.60 99.00 275 9999.0 999.0   2.4 999.0 99.0 99.00
2022 06 01 07 40 255  2.4  3.0  0.10  1.80 99.00 320 9999.0 999.0   2.4 999.0 99.0 99.00
2022 06 01 07 50 256  2.6  3.8  0.10  1.90 99.00 321 9999.0 999.0   2.4 999.0 99.0 99.00
