#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2017 05 09 22 30  65  2.8  3.9 99.00 99.00 99.00 999 9999.0   4.7   3.0  -0.6 99.0 99.00
2017 05 09 22 40  36  2.1  3.1 99.00 99.00 99.00 999 9999.0   4.6   3.0  -0.2 99.0 99.00
2017 05 09 22 50  24  1.8  3.4 99.00 99.00 99.00 999 9999.0   4.6   3.0  -0.1 99.0 99.00
2017 05 09 23 00  19  1.4  2.1 99.00 99.00 99.00 999 9999.0   4.6   3.0  -0.1 99.0 99.00
2017 05 09 23 10  37  1.3  2.2 99.00 99.00 99.00 999 9999.0   5.1   3.0  -0.3 99.0 99.00
2017 05 09 23 20  82  1.4  2.1 99.00 99.00 99.00 999 9999.0   5.2   3.0  -0.3 99.0 99.00
2017 05 09 23 30  41  1.2  1.6 99.00 99.00 99.00 999 9999.0   4.9   3.0  -0.4 99.0 99.00
2017 05 09 23 40  40  1.3  2.0 99.00 99.00 99.00 999 9999.0   5.2   3.0  -0.6 99.0 99.00
2017 05 10 01 40  99  3.5  4.0 99.00 99.00 99.00 999 9999.0   4.0   3.0  -0.9 99.0 99.00
2017 05 10 01 50  74  1.8  2.7 99.00 99.00 99.00 999 9999.0   3.8   3.0  -0.7 99.0 99.00
2017 05 10 02 00  71  1.8  2.7 99.00 99.00 99.00 999 9999.0   3.8   3.0  -0.8 99.0 99.00
2017 05 10 02 10  63  1.7  2.5 99.00 99.00 99.00 999 9999.0   3.7   3.0  -0.8 99.0 99.00
2017 05 10 02 20  48  1.5  1.8 99.00 99.00 99.00 999 9999.0   3.8   3.0  -1.0 99.0 99.00
2017 05 10 02 30  51  1.6  1.9 99.00 99.00 99.00 999 9999.0   3.7   3.0  -1.2 99.0 99.00
2017 05 10 02 40  50  1.8  2.2 99.00 99.00 99.00 999 9999.0   3.6   3.0  -1.1 99.0 99.00
2017 05 10 02 50  11  1.5  1.9 99.00 99.00 99.00 999 9999.0   3.5   3.0  -0.8 99.0 99.00
2017 05 10 03 00  16  1.4  1.8 99.00 99.00 99.00 999 9999.0   3.7   3.0  -1.3 99.0 99.00
2017 05 10 03 10 359  1.3  1.7 99.00 99.00 99.00 999 9999.0   3.7   3.0  -2.2 99.0 99.00
2017 05 10 03 20 357  0.9  1.2 99.00 99.00 99.00 999 9999.0   3.7   3.0  -2.6 99.0 99.00
2017 05 10 03 30 299  0.8  1.0 99.00 99.00 99.00 999 9999.0   3.3   2.9  -2.1 99.0 99.00
2017 05 10 03 40 352  0.6  0.7 99.00 99.00 99.00 999 9999.0   3.1   2.9  -2.4 99.0 99.00
2017 05 10 03 50 359  0.8  1.1 99.00 99.00 99.00 999 9999.0   3.0   2.9  -2.0 99.0 99.00
2017 05 10 04 00  28  1.4  1.9 99.00 99.00 99.00 999 9999.0   3.1   2.9  -1.9 99.0 99.00
2017 05 10 06 20 299  0.9  1.3 99.00 99.00 99.00 999 9999.0   2.2   2.8  -2.0 99.0 99.00
2017 05 10 06 30 272  1.1  1.7 99.00 99.00 99.00 999 9999.0   2.1   2.8  -2.4 99.0 99.00
2017 05 10 06 40 340  0.8  1.0 99.00 99.00 99.00 999 9999.0   2.1   2.8  -2.2 99.0 99.00
2017 05 10 06 50 323  0.8  1.1 99.00 99.00 99.00 999 9999.0   1.9   2.7  -2.2 99.0 99.00
2017 05 10 07 00 291  0.7  0.7 99.00 99.00 99.00 999 9999.0   1.8   2.8  -2.0 99.0 99.00
2017 05 10 12 30 238  0.4  0.6 99.00 99.00 99.00 999 9999.0   5.1   2.9   1.7 99.0 99.00
2017 05 10 12 40 318  0.3  0.4 99.00 99.00 99.00 999 9999.0   4.8   2.9   1.1 99.0 99.00
2017 05 10 12 50 160  0.5  0.9 99.00 99.00 99.00 999 9999.0   5.8   2.9   1.0 99.0 99.00
2017 05 10 13 00 129  1.2  1.4 99.00 99.00 99.00 999 9999.0   4.4   3.0   0.4 99.0 99.00
2017 05 10 13 10 134  0.8  0.9 99.00 99.00 99.00 999 9999.0   4.2   3.0   0.9 99.0 99.00
2017 05 10 13 20  58  0.5  0.7 99.00 99.00 99.00 999 9999.0   4.4   3.0   1.2 99.0 99.00
2017 05 10 13 30 355  0.5  0.7 99.00 99.00 99.00 999 9999.0   4.4   3.0   1.5 99.0 99.00
2017 05 10 13 40 355  0.4  0.7 99.00 99.00 99.00 999 9999.0   4.7   3.0   1.4 99.0 99.00
2017 05 10 13 50  34  0.4  0.6 99.00 99.00 99.00 999 9999.0   5.7   3.0   1.1 99.0 99.00
2017 05 10 14 00  81  0.9  1.1 99.00 99.00 99.00 999 9999.0   5.4   3.0   0.6 99.0 99.00
2017 05 10 14 10 137  1.3  1.6 99.00 99.00 99.00 999 9999.0   5.0   3.1   0.5 99.0 99.00
2017 05 10 14 20  17  0.8  1.2 99.00 99.00 99.00 999 9999.0   7.2   3.1   1.4 99.0 99.00
2017 05 10 14 30  54  0.5  0.6 99.00 99.00 99.00 999 9999.0   7.3   3.1   0.4 99.0 99.00
2017 05 10 14 40 166  0.5  0.8 99.00 99.00 99.00 999 9999.0   7.6   3.1   1.5 99.0 99.00
2017 05 10 14 50 179  1.3  1.7 99.00 99.00 99.00 999 9999.0   7.6   3.1   2.5 99.0 99.00
2017 05 10 15 00 281  0.5  1.0 99.00 99.00 99.00 999 9999.0   7.9   3.1   2.3 99.0 99.00
2017 05 10 15 10 207  0.7  0.9 99.00 99.00 99.00 999 9999.0   8.0   3.1   2.5 99.0 99.00
2017 05 10 15 20 348  0.6  0.9 99.00 99.00 99.00 999 9999.0   7.7   3.1   2.3 99.0 99.00
2017 05 10 15 30 241  0.7  0.9 99.00 99.00 99.00 999 9999.0   8.4   3.1   2.9 99.0 99.00
2017 05 10 15 40 209  1.2  1.9 99.00 99.00 99.00 999 9999.0   8.7   3.0   3.3 99.0 99.00
2017 05 10 15 50 224  3.3  4.1 99.00 99.00 99.00 999 9999.0  10.5   3.0   4.5 99.0 99.00
2017 05 10 16 00 228  3.4  4.1 99.00 99.00 99.00 999 9999.0  10.8   3.0   4.4 99.0 99.00
2017 05 10 16 10 231  3.6  5.0 99.00 99.00 99.00 999 9999.0  10.5   3.0   4.7 99.0 99.00
2017 05 10 16 20 216  4.6  5.3 99.00 99.00 99.00 999 9999.0  10.8   3.1   4.6 99.0 99.00
2017 05 10 16 30 199  5.3  6.8 99.00 99.00 99.00 999 9999.0  12.5   3.1   4.5 99.0 99.00
2017 05 10 16 40 210  4.4  5.3 99.00 99.00 99.00 999 9999.0  11.7   3.0   3.7 99.0 99.00
2017 05 10 16 50 229  4.8  6.4 99.00 99.00 99.00 999 9999.0  11.5   3.1   4.0 99.0 99.00
2017 05 10 17 00 219  6.1  7.7 99.00 99.00 99.00 999 9999.0  13.2   3.1   4.0 99.0 99.00
2017 05 10 17 10 193  5.9  6.5 99.00 99.00 99.00 999 9999.0  11.3   3.1   3.9 99.0 99.00
2017 05 10 17 20 189  3.5  5.8 99.00 99.00 99.00 999 9999.0  10.5   3.0   3.8 99.0 99.00
2017 05 10 17 30 223  5.4  7.1 99.00 99.00 99.00 999 9999.0 999.0   3.0   4.5 99.0 99.00
2017 05 10 17 40 239  6.2  9.3 99.00 99.00 99.00 999 9999.0  14.3   3.0   3.9 99.0 99.00
2017 05 10 17 50 244  7.0  8.2 99.00 99.00 99.00 999 9999.0  16.1   3.0   3.7 99.0 99.00
2017 05 10 18 00 247  6.1  6.8 99.00 99.00 99.00 999 9999.0  16.3   3.0   4.0 99.0 99.00
2017 05 10 18 10 217  6.2  6.6 99.00 99.00 99.00 999 9999.0  14.8   3.1   3.7 99.0 99.00
2017 05 10 18 20 255  6.0  7.1 99.00 99.00 99.00 999 9999.0  15.1   3.1   3.7 99.0 99.00
2017 05 10 18 30 242  5.0  6.3 99.00 99.00 99.00 999 9999.0  15.1   3.1   4.1 99.0 99.00
2017 05 10 18 40 259  3.4  4.0 99.00 99.00 99.00 999 9999.0  16.1   3.1   4.3 99.0 99.00
2017 05 10 18 50 276  5.1  5.9 99.00 99.00 99.00 999 9999.0  16.6   3.1   4.9 99.0 99.00
2017 05 10 19 00 235  3.8  4.4 99.00 99.00 99.00 999 9999.0  14.9   3.1   4.0 99.0 99.00
2017 05 10 19 10 202  3.7  4.3 99.00 99.00 99.00 999 9999.0  10.7   3.1   3.5 99.0 99.00
2017 05 10 19 20 223  4.9  5.6 99.00 99.00 99.00 999 9999.0  10.8   3.0   3.9 99.0 99.00
2017 05 10 19 30 229  4.7  6.0 99.00 99.00 99.00 999 9999.0  11.8   3.0   4.1 99.0 99.00
2017 05 10 19 40 196  5.8  6.5 99.00 99.00 99.00 999 9999.0  11.6   3.0   4.1 99.0 99.00
2017 05 10 19 50 247  4.5  5.6 99.00 99.00 99.00 999 9999.0  13.1   3.0   4.3 99.0 99.00
2017 05 10 20 00 284  6.6  7.0 99.00 99.00 99.00 999 9999.0  17.4   3.0   4.8 99.0 99.00
2017 05 10 20 10 285  5.9  7.7 99.00 99.00 99.00 999 9999.0  17.4   3.1   4.8 99.0 99.00
2017 05 10 20 20 251  5.0  5.9 99.00 99.00 99.00 999 9999.0  15.9   3.0   4.4 99.0 99.00
2017 05 10 20 30 257  4.1  4.8 99.00 99.00 99.00 999 9999.0  17.7   3.0   4.6 99.0 99.00
2017 05 10 20 40 263  4.4  5.7 99.00 99.00 99.00 999 9999.0  16.8   3.0   4.6 99.0 99.00
2017 05 10 20 50 256  5.9  6.4 99.00 99.00 99.00 999 9999.0  17.5   3.0   4.6 99.0 99.00
2017 05 10 21 00 253  4.2  5.8 99.00 99.00 99.00 999 9999.0  16.0   3.0   4.4 99.0 99.00
2017 05 10 21 10 282  3.9  5.7 99.00 99.00 99.00 999 9999.0  19.3   3.0   4.7 99.0 99.00
2017 05 10 21 20 261  3.2  4.0 99.00 99.00 99.00 999 9999.0  16.6   3.1   4.3 99.0 99.00
2017 05 10 21 30 243  3.2  4.7 99.00 99.00 99.00 999 9999.0  16.5   3.1   4.4 99.0 99.00
