#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2024 06 11 22 10  60  6.0   MM   0.4     2    MM  92 1007.1   7.5   9.1   6.9   MM   MM    MM
2024 06 11 22 00  70  6.0   MM   0.4     3    MM  84 1007.1   7.6   9.1   7.0   MM -2.1    MM
2024 06 11 21 50  60  6.0   MM   0.4     3    MM  74 1007.3   7.6   9.1   7.0   MM   MM    MM
2024 06 11 21 40  50  5.0   MM   0.4     3    MM  59 1007.5   7.6   9.1   7.0   MM   MM    MM
2024 06 11 21 30  60  6.0   MM   0.4     3    MM  49 1007.7   7.6   9.1   7.0   MM   MM    MM
2024 06 11 21 20  60  5.0   MM   0.4     3    MM  49 1007.9   7.6   9.1   7.0   MM   MM    MM
2024 06 11 21 10  60  5.0   MM   0.4     3    MM  51 1008.0   7.5   9.1   7.0   MM   MM    MM
2024 06 11 21 00  60  5.0   MM   0.4     3    MM  55 1008.1   7.5   9.1   7.0   MM -1.8    MM
2024 06 11 20 50  60  5.0   MM   0.4     3    MM  61 1008.1   7.6   9.1   7.1   MM   MM    MM
2024 06 11 20 40  80  6.0   MM   0.4     3    MM  67 1008.0   7.7   9.1   7.1   MM   MM    MM
2024 06 11 20 30  80  6.0   MM   0.4     3    MM  72 1008.1   7.8   9.0   7.2   MM   MM    MM
2024 06 11 20 20  80  6.0   MM   0.4     3    MM  81 1008.3   7.8   9.0   7.3   MM   MM    MM
2024 06 11 20 10  80  5.0   MM   0.4     3    MM  82 1008.5   8.0   9.1   7.4   MM   MM    MM
2024 06 11 20 00  70  5.0   MM   0.4     3    MM  79 1008.8   8.1   9.0   7.4   MM -1.9    MM
2024 06 11 19 50  80  5.0   MM   0.4     3    MM  81 1008.8   8.0   9.0   7.4   MM   MM    MM
2024 06 11 19 40  70  5.0   MM   0.4     3    MM  81 1008.9   8.0   9.1   7.3   MM   MM    MM
2024 06 11 19 30  80  6.0   MM   0.4     3    MM  76 1009.0   7.9   9.1   7.3   MM   MM    MM
2024 06 11 19 20  80  6.0   MM   0.4     3    MM  72 1009.2   7.8   9.1   7.2   MM   MM    MM
2024 06 11 19 10  80  6.0   MM   0.4     3    MM  65 1009.2   8.1   9.1   7.5   MM   MM    MM
2024 06 11 19 00  70  5.0   MM   0.4     3    MM  70 1009.2   8.3   9.1   7.7   MM -1.9    MM
2024 06 11 18 50  60  4.0   MM   0.4     3    MM  85 1009.4   8.3   9.1   7.7   MM   MM    MM
2024 06 11 18 40  50  4.0   MM   0.4     3    MM  93 1009.5   8.1   9.1   7.6   MM   MM    MM
2024 06 11 18 30  50  5.0   MM   0.4     3    MM  97 1009.6   7.9   9.1   7.4   MM   MM    MM
2024 06 11 18 20  70  6.0   MM   0.4     3    MM  95 1009.7   8.0   9.1   7.4   MM   MM    MM
2024 06 11 18 10  60  6.0   MM   0.4     3    MM  94 1009.8   8.0   9.1   7.5   MM   MM    MM
2024 06 11 18 00  50  6.0   MM   0.4     3    MM  93 1009.9   8.0   9.2   7.5   MM -2.0    MM
2024 06 11 17 50  70  6.0   MM   0.4     3    MM  93 1009.9   8.0   9.2   7.5   MM   MM    MM
2024 06 11 17 40  60  6.0   MM   0.4     3    MM  94 1010.1   7.9   9.2   7.5   MM   MM    MM
2024 06 11 17 30  50  6.0   MM   0.4     2    MM  97 1010.4   7.7   9.2   7.4   MM   MM    MM
