#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2023 06 01 08 30 116  1.9 99.0 99.00 99.00 99.00 999 9999.0   6.5   2.9   6.1 99.0 99.00
2023 06 01 08 40  91  1.9 99.0 99.00 99.00 99.00 999 9999.0   7.0   2.8   6.1 99.0 99.00
2023 06 01 08 50  56  1.9 99.0 99.00 99.00 99.00 999 9999.0   6.5   2.9   5.6 99.0 99.00
2023 06 01 09 00   8  2.7 99.0 99.00 99.00 99.00 999 9999.0   5.5   2.8   4.8 99.0 99.00
2023 06 01 09 10   8  3.1 99.0 99.00 99.00 99.00 999 9999.0   5.6   2.9   4.8 99.0 99.00
2023 06 01 09 20  32  2.4 99.0 99.00 99.00 99.00 999 9999.0   6.0   2.9   5.0 99.0 99.00
2023 06 01 09 30  64  2.2 99.0 99.00 99.00 99.00 999 9999.0   6.2   2.9   5.2 99.0 99.00
2023 06 01 09 40  56  2.4 99.0 99.00 99.00 99.00 999 9999.0   6.0   2.9   5.1 99.0 99.00
2023 06 01 09 50  72  2.5 99.0 99.00 99.00 99.00 999 9999.0   5.8   2.9   4.9 99.0 99.00
2023 06 01 10 00  38  2.2 99.0 99.00 99.00 99.00 999 9999.0   5.3   2.9   4.5 99.0 99.00
2023 06 01 10 10  22  2.2 99.0 99.00 99.00 99.00 999 9999.0   5.2   2.9   4.5 99.0 99.00
2023 06 01 10 20  27  2.2 99.0 99.00 99.00 99.00 999 9999.0   5.7   2.9   5.0 99.0 99.00
2023 06 01 10 30  57  2.5 99.0 99.00 99.00 99.00 999 9999.0   6.2   2.9   5.2 99.0 99.00
2023 06 01 10 40  32  1.8 99.0 99.00 99.00 99.00 999 9999.0   5.8   2.9   4.9 99.0 99.00
2023 06 01 10 50  68  1.9 99.0 99.00 99.00 99.00 999 9999.0   5.9   2.9   5.0 99.0 99.00
2023 06 01 11 00  56  1.4 99.0 99.00 99.00 99.00 999 9999.0   6.0   2.9   5.1 99.0 99.00
2023 06 01 11 10  34  1.5 99.0 99.00 99.00 99.00 999 9999.0   6.2   2.9   5.2 99.0 99.00
2023 06 01 11 20  87  1.6 99.0 99.00 99.00 99.00 999 9999.0   6.1   2.9   5.1 99.0 99.00
2023 06 01 11 30 109  4.1 99.0 99.00 99.00 99.00 999 9999.0   6.6   2.9   5.4 99.0 99.00
