#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2024 06 11 13 10  60  6.0   MM    MM    MM    MM  MM 1011.2   8.5   9.1   5.8   MM   MM    MM
2024 06 11 13 00  60  6.0   MM    MM    MM    MM  MM 1011.0   8.5   9.1   6.0   MM -1.6    MM
2024 06 11 12 50  50  6.0   MM    MM    MM    MM  MM 1011.2   8.5   9.2   5.9   MM   MM    MM
2024 06 11 12 40  60  6.0   MM    MM    MM    MM  MM 1011.2   8.5   9.2   5.9   MM   MM    MM
2024 06 11 12 30  50  6.0   MM    MM    MM    MM  MM 1011.3   8.5   9.2   5.8   MM   MM    MM
2024 06 11 12 20  50  6.0   MM    MM    MM    MM  MM 1011.6   8.5   9.2   5.8   MM   MM    MM
2024 06 11 12 10  60  5.0   MM    MM    MM    MM  MM 1011.8   8.5   9.3   5.9   MM   MM    MM
2024 06 11 12 00  50  5.0   MM    MM    MM    MM  MM 1011.8   8.5   9.3   5.9   MM -1.2    MM
2024 06 11 11 50  60  6.0   MM    MM    MM    MM  MM 1011.9   8.6   9.3   5.8   MM   MM    MM
2024 06 11 11 40  60  6.0   MM    MM    MM    MM  MM 1011.9   8.7   9.3   5.8   MM   MM    MM
2024 06 11 11 30  60  6.0   MM    MM    MM    MM  MM 1012.0   8.8   9.3   5.7   MM   MM    MM
2024 06 11 11 20  60  5.0   MM    MM    MM    MM  MM 1012.1   8.7   9.3   5.8   MM   MM    MM
2024 06 11 11 10  50  5.0   MM    MM    MM    MM  MM 1012.2   8.7   9.3   5.8   MM   MM    MM
2024 06 11 11 00  60  5.0   MM    MM    MM    MM  MM 1012.3   8.6   9.3   5.9   MM -1.3    MM
2024 06 11 10 50  60  6.0   MM    MM    MM    MM  MM 1012.4   8.5   9.4   5.7   MM   MM    MM
2024 06 11 10 40  40  5.0   MM    MM    MM    MM  MM 1012.5   8.6   9.4   5.8   MM   MM    MM
2024 06 11 10 30  50  5.0   MM    MM    MM    MM  MM 1012.4   8.8   9.4   5.9   MM   MM    MM
2024 06 11 10 20  60  6.0   MM    MM    MM    MM  MM 1012.5   8.9   9.4   6.0   MM   MM    MM
2024 06 11 10 10  60  6.0   MM    MM    MM    MM  MM 1012.7   8.8   9.4   6.2   MM   MM    MM
2024 06 11 10 00  60  6.0   MM    MM    MM    MM  MM 1012.6   8.7   9.4   6.2   MM -0.9    MM
2024 06 11 09 50  60  6.0   MM    MM    MM    MM  MM 1012.6   8.7   9.4   6.2   MM   MM    MM
